processos,repeticao,tempo_s
1,1,1.012667
1,2,0.812413
1,3,0.936098
1,4,0.959127
1,5,0.964561
1,6,0.803171
1,7,0.848780
1,8,0.790700
1,9,0.752403
1,10,0.752482
1,11,0.866202
1,12,0.869467
1,13,0.766919
1,14,0.768241
1,15,0.768734
1,16,0.826879
1,17,1.051462
1,18,0.856425
1,19,0.815927
1,20,0.848576
1,21,0.939425
1,22,0.840543
1,23,0.882873
1,24,0.910017
1,25,0.797323
1,26,0.800110
1,27,0.791278
1,28,0.821858
1,29,0.811510
1,30,0.823986
2,1,0.402389
2,2,0.454938
2,3,0.391049
2,4,0.400840
2,5,0.407019
2,6,0.420035
2,7,0.430934
2,8,0.432632
2,9,0.429483
2,10,0.413163
2,11,0.452378
2,12,0.443398
2,13,0.563667
2,14,0.528520
2,15,0.490296
2,16,0.447385
2,17,0.415106
2,18,0.490992
2,19,0.507584
2,20,0.441478
2,21,0.430976
2,22,0.481234
2,23,0.422008
2,24,0.398568
2,25,0.471875
2,26,0.544267
2,27,0.474757
2,28,0.424626
2,29,0.455561
2,30,0.479722
4,1,0.293816
4,2,0.346393
4,3,0.303462
4,4,0.284518
4,5,0.329112
4,6,0.302426
4,7,0.315626
4,8,0.275184
4,9,0.337066
4,10,0.268791
4,11,0.294452
4,12,0.283335
4,13,0.303465
4,14,0.341706
4,15,0.298256
4,16,0.266646
4,17,0.279566
4,18,0.305689
4,19,0.312363
4,20,0.319554
4,21,0.270557
4,22,0.346720
4,23,0.262147
4,24,0.353132
4,25,0.304525
4,26,0.317489
4,27,0.384017
4,28,0.274916
4,29,0.314839
4,30,0.299393
8,1,0.252451
8,2,0.226503
8,3,0.234554
8,4,0.281403
8,5,0.185185
8,6,0.192645
8,7,0.207767
8,8,0.195915
8,9,0.191676
8,10,0.195914
8,11,0.187753
8,12,0.191732
8,13,0.222899
8,14,0.206944
8,15,0.204454
8,16,0.241385
8,17,0.243212
8,18,0.209592
8,19,0.208410
8,20,0.220453
8,21,0.215046
8,22,0.206259
8,23,0.202204
8,24,0.195453
8,25,0.196219
8,26,0.191648
8,27,0.200902
8,28,0.212687
8,29,0.244564
8,30,0.244249
12,1,0.210402
12,2,0.245922
12,3,0.230797
12,4,0.197307
12,5,0.221268
12,6,0.208025
12,7,0.276405
12,8,0.281165
12,9,0.298657
12,10,0.305703
12,11,0.280635
12,12,0.272376
12,13,0.284848
12,14,0.284311
12,15,0.252734
12,16,0.275311
12,17,0.255859
12,18,0.200676
12,19,0.209148
12,20,0.200061
12,21,0.269881
12,22,0.226116
12,23,0.224139
12,24,0.278912
12,25,0.225753
12,26,0.246844
12,27,0.222460
12,28,0.210963
12,29,0.207707
12,30,0.205859
